SourceName,DateAccessed,ParentLocation,Location,Period,Dim1,FactValueNumeric
WHO,10/17/2023 10:01,Africa,Angola,2019,Both sexes,63.06
WHO,10/17/2023 10:01,Africa,Angola,2019,Male,60.7
WHO,10/17/2023 10:01,Africa,Angola,2019,Female,65.52
WHO,10/17/2023 10:01,Africa,Angola,2015,Both sexes,61.72
WHO,10/17/2023 10:01,Africa,Angola,2015,Male,59.13
WHO,10/17/2023 10:01,Africa,Angola,2015,Female,64.5
WHO,10/17/2023 10:01,Africa,Angola,2010,Both sexes,58.07
WHO,10/17/2023 10:01,Africa,Angola,2010,Male,55.78
WHO,10/17/2023 10:01,Africa,Angola,2010,Female,60.53
WHO,10/17/2023 10:01,Africa,Angola,2000,Both sexes,49.3
WHO,10/17/2023 10:01,Africa,Angola,2000,Male,46.77
WHO,10/17/2023 10:01,Africa,Angola,2000,Female,52.12
WHO,10/17/2023 10:01,Africa,Burundi,2019,Both sexes,63.84
WHO,10/17/2023 10:01,Africa,Burundi,2019,Male,61.55
WHO,10/17/2023 10:01,Africa,Burundi,2019,Female,66.14
WHO,10/17/2023 10:01,Africa,Burundi,2015,Both sexes,62.05
WHO,10/17/2023 10:01,Africa,Burundi,2015,Male,59.84
WHO,10/17/2023 10:01,Africa,Burundi,2015,Female,64.26
WHO,10/17/2023 10:01,Africa,Burundi,2010,Both sexes,58.6
WHO,10/17/2023 10:01,Africa,Burundi,2010,Male,56.86
WHO,10/17/2023 10:01,Africa,Burundi,2010,Female,60.32
WHO,10/17/2023 10:01,Africa,Burundi,2000,Both sexes,43.78
WHO,10/17/2023 10:01,Africa,Burundi,2000,Male,41.79
WHO,10/17/2023 10:01,Africa,Burundi,2000,Female,45.85
WHO,10/17/2023 10:01,Africa,Benin,2019,Both sexes,63.43
WHO,10/17/2023 10:01,Africa,Benin,2019,Male,61.19
WHO,10/17/2023 10:01,Africa,Benin,2019,Female,65.66
WHO,10/17/2023 10:01,Africa,Benin,2015,Both sexes,61.96
