"","monthOfDate","driversKilled","frontSeat","backSeat","distDrivenKM","numKilledInVan","gasPrice","lawIsInEffect"
"1",1969-01-01,107,867,269,9059,12,0.102971812,FALSE
"2",1969-02-01,97,825,265,7685,6,0.102362996,FALSE
"3",1969-03-01,102,806,319,9963,12,0.102062491,FALSE
"4",1969-04-01,87,814,407,10955,8,0.100873301,FALSE
"5",1969-05-01,119,991,454,11823,10,0.101019673,FALSE
"6",1969-06-01,106,945,427,12391,13,0.100581192,FALSE
"7",1969-07-01,110,1004,522,13460,11,0.103773981,FALSE
"8",1969-08-01,106,1091,536,14055,6,0.104076404,FALSE
"9",1969-09-01,107,958,405,12106,10,0.103773981,FALSE
"10",1969-10-01,134,850,437,11372,16,0.103026401,FALSE
"11",1969-11-01,147,1109,434,9834,13,0.102730112,FALSE
"12",1969-12-01,180,1113,437,9267,14,0.101997192,FALSE
"13",1970-01-01,125,925,316,9130,14,0.101274563,FALSE
"14",1970-02-01,134,903,311,8933,6,0.100703976,FALSE
"15",1970-03-01,110,1006,351,11000,8,0.100139607,FALSE
"16",1970-04-01,102,892,362,10733,11,0.098621104,FALSE
"17",1970-05-01,103,990,486,12912,7,0.098349285,FALSE
"18",1970-06-01,111,866,429,12926,13,0.098080177,FALSE
"19",1970-07-01,120,1095,551,13990,13,0.097279208,FALSE
"20",1970-08-01,129,1204,646,14926,11,0.097410624,FALSE
"21",1970-09-01,122,1029,456,12900,11,0.097425237,FALSE
"22",1970-10-01,183,1147,475,12034,14,0.096380633,FALSE
"23",1970-11-01,169,1171,456,10643,16,0.095738956,FALSE
"24",1970-12-01,190,1299,468,10742,14,0.095106306,FALSE
"25",1971-01-01,134,944,356,10266,17,0.096735967,FALSE
"26",1971-02-01,108,874,271,10281,16,0.096109222,FALSE
"27",1971-03-01,104,840,354,11527,15,0.095367255,FALSE
"28",1971-04-01,117,893,427,12281,13,0.094709592,FALSE
"29",1971-05-01,157,1007,465,13587,13,0.09411762,FALSE
"30",1971-06-01,148,973,440,13049,15,0.093532155,FALSE
"31",1971-07-01,130,1097,539,16055,12,0.092954049,FALSE
"32",1971-08-01,140,1194,646,15220,6,0.092839786,FALSE
"33",1971-09-01,136,988,457,13824,9,0.092724736,FALSE
"34",1971-10-01,140,1077,446,12729,13,0.092269651,FALSE
"35",1971-11-01,187,1045,402,11467,14,0.091706685,FALSE
"36",1971-12-01,150,1115,441,11351,15,0.091262072,FALSE
"37",1972-01-01,159,1005,359,10803,14,0.090711603,FALSE
"38",1972-02-01,143,857,334,10548,3,0.090276328,FALSE
"39",1972-03-01,114,879,312,12368,12,0.089951918,FALSE
"40",1972-04-01,127,887,427,13311,13,0.089099639,FALSE
"41",1972-05-01,159,1075,434,13885,12,0.088679193,FALSE
"42",1972-06-01,156,1121,486,14088,8,0.088159289,FALSE
"43",1972-07-01,138,1190,569,16932,8,0.088902057,FALSE
"44",1972-08-01,120,1058,523,16164,15,0.088181331,FALSE
"45",1972-09-01,117,939,418,14883,8,0.088940293,FALSE
"46",1972-10-01,170,1074,452,13532,5,0.08772661,FALSE
"47",1972-11-01,168,1089,462,12220,17,0.087428846,FALSE
"48",1972-12-01,198,1208,497,12025,14,0.08703543,FALSE
"49",1973-01-01,144,903,354,11692,13,0.086449919,FALSE
"50",1973-02-01,146,916,347,11081,5,0.085872641,FALSE
"51",1973-03-01,109,787,276,13745,8,0.085398222,FALSE
"52",1973-04-01,131,1114,472,14382,5,0.083821981,FALSE
"53",1973-05-01,151,1014,487,14391,12,0.08459078,FALSE
"54",1973-06-01,140,1022,505,15597,11,0.084136904,FALSE
